LFS_ID,LFP_POS,LFP_LFSPOS,SB_NR,KST_ID,KRT_ID,KRT_NR,KST_ID1,ART_NR,LF_ID,VPK_ID1,LFP_MENGE,LFP_EKP,LFP_VKP,LFP_RABATT,LFP_MWST,LFP_BRUTTO,LFP_MENGEGE,VPK_ID2,LFP_STATUS,LFP_HISTORIE,LFS_NAME,LFS_DATUM,BST_ID,B_NAME,BP_FREIG,BST_ID1,SB_NAME,SB_ZE,BP_SONDERANGEBOT,BP_LTERM,BP_MENGE,BP_EKP,TXT_NR,BP_VORSCHLAG,BP_VORSCHLAGDIFF,BP_SONDERBEST,FIB_AKTIV,BP_INFO,LFP_INFO,NEW_USER,NEW_ZEIT,CHG_USER,CHG_ZEIT,AKTIV,CUR_NR,CUR_EXCHANGE,LFP_RABATT2,LFP_EKPSTK,LFP_TEMPERATUR,LFP_LIEFERZT,LFP_KUEHLZT,LFP_CHARGE,LFP_ABLAUFDT,LFP_SORT,LFP_EKPSTKORIG,LFP_HACCPINFO,B_REFNO,LFP_MANUFACTURED,LFP_MENGEGE_S,LFP_EKPSTK_S,LFP_PCKSLIP,LFP_QUALITY,RC_NR,LFP_EKPSTKFC,LFP_FIXDISCOUNT,LFP_XTRACHARGE,LFP_EKPSTK_ACT,LFP_EKPSTK_BM,LFP_EKPSTK_BMACT,TXT_ID,LFP_ACCOUNT,LFP_ACCVAT,LFP_MWSTNR,LFP_UNITPRICE,LFP_ADJUSTMENTS,LFP_BASERED,LFP_ALPHCUST1,LFP_ALPHCUST2,LFP_ALPHCUST3,LFP_NUMCUST1,LFP_NUMCUST2,LFP_NUMCUST3,LFP_INTCUST1,LFP_INTCUST2,LFP_INTCUST3,FIT_CFOPPOS,FIT_UTILCODEPOS,LFP_BASEREDVAL,B_ID,BP_RABATT,BP_RABATT2,BP_FIXDISCOUNT,BP_XTRACHARGE,BP_MENGEORG,LFP_ACCOVERRULE,LFP_PRODUCER,LFP_COUNTRYORG,RC_NR_PO,LFP_VEHTEMP,LFP_HYGCHECK,LFP_ACTTAKEN,SB_LASTPR,LFP_QUALITY_TOL,LFP_SHP_IVC,LFP_SHP_IVCDATE,BP_POS,BP_NR,BP_LFNR,BP_VORSCHLAGVAT,BP_DOCLINK,TXT_NR2,B_INFO,BP_WEIGHT,LFP_QTYRTV,LFP_DOCLINK,LFP_SHIPMENT1,LFP_SHIPMENT2,LFP_SHIPMENT3,LFP_SHIPMENT4,LFP_SHIPMENT5,LFP_SHIPMENT6,LFP_SHIPMENT7,LFP_SHIPMENT8,LFP_SHIPMENT9,LFP_SHIPMENT10,VPK_NR1,EFD_NR,LFP_POS_CONTAINED,ART_NR_CONTAINED,LFP_B2B_SUBS_PRICE,LFP_ARTNR,LFP_DEPOSIT,LFP_ADDTAXFEE1,LFP_ADDTAXFEE2,LFP_ADDTAXFEE3,BP_VORSCHLAGADJ,BP_VORSCHLAGRBT,BP_VORSCHLAGBASEREDVAL,BP_VORSCHLAGRBT2
6,15,15,,15,1,,15,717,17,3,6,4918.14,0,0,0.21,5950.949,6,3,2,0,F-2222-22222222,2026-04-23 00:00:00,21,No PO Defined,2026-04-24 00:32:32,21,No PO Defined,2026-04-24 00:30:51,,2026-04-23 00:00:00,0,819.69,,991.8249,6,0,2,,,21,2026-04-24 03:30:51,21,2026-04-24 03:33:29, ,,1,0,819.69,,,,,,15,819.69,,,,,,,0,,819.69,,,,,,,,,,991.8249,0,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,100740,,,,,0,0,0,0
6,16,16,,15,1,,15,728,17,3,6,3342,0,0,0.21,4043.820,6,3,2,0,F-2222-22222222,2026-04-23 00:00:00,21,No PO Defined,2026-04-24 00:32:32,21,No PO Defined,2026-04-24 00:30:51,,2026-04-23 00:00:00,0,557,,717.3771666666666667,6,0,2,,,21,2026-04-24 03:30:51,21,2026-04-24 03:33:29, ,,1,0,557,,,,,,16,557,,,,,,,0,,557,,,,,,,,,,717.37716666666666666666666667,260.443,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,100908,,,,,260.443,0,0,0
6,17,17,,15,1,,15,725,17,3,6,8878.68,0,0,0.21,10743.203,6,3,2,0,F-2222-22222222,2026-04-23 00:00:00,21,No PO Defined,2026-04-24 00:32:32,21,No PO Defined,2026-04-24 00:30:51,,2026-04-23 00:00:00,0,1479.78,,1905.853466666666667,6,0,2,,,21,2026-04-24 03:30:51,21,2026-04-24 03:33:29, ,,1,0,1479.78,,,,,,17,1479.78,,,,,,,0,,1479.78,,,,,,,,,,1905.8534666666666666666666667,691.918,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,101036,,,,,691.918,0,0,0
6,18,18,,15,1,,15,675,17,3,6,3162,0,0,0.21,3826.020,6,3,2,0,F-2222-22222222,2026-04-23 00:00:00,21,No PO Defined,2026-04-24 00:32:32,21,No PO Defined,2026-04-24 00:30:51,,2026-04-23 00:00:00,0,527,,637.67,6,0,2,,,21,2026-04-24 03:30:51,21,2026-04-24 03:33:29, ,,1,0,527,,,,,,18,527,,,,,,,0,,527,,,,,,,,,,637.67,0,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,100222,,,,,0,0,0,0
6,19,19,,15,1,,15,1100,17,3,1,18101.26,0,0,0,18101.260,1,3,2,0,F-2222-22222222,2026-04-23 00:00:00,21,No PO Defined,2026-04-24 00:32:32,21,No PO Defined,2026-04-24 00:30:51,,2026-04-23 00:00:00,0,18101.26,,18101.26,1,0,2,,,21,2026-04-24 03:30:51,21,2026-04-24 03:33:29, ,,1,0,18101.26,,,,,,19,18101.26,,,,,,,0,,18101.26,,,,,,,,,,18101.26,0,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,IBDN,,,,,0,0,0,0
6,20,20,,15,1,,15,708,17,3,12,11594.4,0,0,0.21,14029.224,12,3,2,0,F-2222-22222222,2026-04-23 00:00:00,21,No PO Defined,2026-04-24 00:32:32,21,No PO Defined,2026-04-24 00:30:51,,2026-04-23 00:00:00,0,966.2,,1169.102,12,0,2,,,21,2026-04-24 03:30:51,21,2026-04-24 03:33:29, ,,1,0,966.2,,,,,,20,966.2,,,,,,,0,,966.2,,,,,,,,,,1169.102,0,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,X1,,,,,0,0,0,0
7,1,1,,15,1,,15,707,17,3,-12,-11594.304,0,0,0.21,-14029.108,-12,3,2,0,N-33333-33333333,2026-04-23 00:00:00,21,No PO Defined,2026-04-24 00:35:24,21,No PO Defined,2026-04-24 00:35:24,,2026-04-23 00:00:00,0,966.192,,1169.09232,-12,0,2,,,21,2026-04-24 03:35:24,21,2026-04-24 03:35:54, ,,1,0,966.192,,,,,,1,966.192,,,,,,,0,,966.192,,,,,,,,,,1169.09232,0,1,,,,,,,,,,,,11594.304,,,,,,,,,,,,,,,0,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,X789,,,,,0,0,11594.304,0
7,3,3,,15,1,,15,706,17,3,-12,-11594.28,0,0,0.21,-14029.079,-12,3,2,0,N-33333-33333333,2026-04-23 00:00:00,21,No PO Defined,2026-04-24 00:35:24,21,No PO Defined,2026-04-24 00:35:24,,2026-04-23 00:00:00,0,966.19,,1244.385316666666667,-12,0,2,,,21,2026-04-24 03:35:24,21,2026-04-24 03:35:54, ,,1,0,966.19,,,,,,3,966.19,,,,,,,0,,966.19,,,,,,,,,,1244.3853166666666666666666667,903.545,1,,,,,,,,,,,,11594.28,,,,,,,,,,,,,,,0,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,X123,,,,,903.545,0,11594.28,0
7,4,4,,15,1,,15,710,17,3,-12,-13975.2,0,0,0.21,-16909.992,-12,3,2,0,N-33333-33333333,2026-04-23 00:00:00,21,No PO Defined,2026-04-24 00:35:24,21,No PO Defined,2026-04-24 00:35:24,,2026-04-23 00:00:00,0,1164.6,,1409.166,-12,0,2,,,21,2026-04-24 03:35:24,21,2026-04-24 03:35:54, ,,1,0,1164.6,,,,,,4,1164.6,,,,,,,0,,1164.6,,,,,,,,,,1409.166,0,1,,,,,,,,,,,,13975.2,,,,,,,,,,,,,,,0,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,98556,,,,,0,0,13975.2,0
7,5,5,,15,1,,15,1012,17,3,-6,-7513.26,0,0,0.21,-9091.045,-6,3,2,0,N-33333-33333333,2026-04-23 00:00:00,21,No PO Defined,2026-04-24 00:35:24,21,No PO Defined,2026-04-24 00:35:24,,2026-04-23 00:00:00,0,1252.21,,1612.7591,-6,0,2,,,21,2026-04-24 03:35:24,21,2026-04-24 03:35:54, ,,1,0,1252.21,,,,,,5,1252.21,,,,,,,0,,1252.21,,,,,,,,,,1612.7591,585.51,1,,,,,,,,,,,,7513.26,,,,,,,,,,,,,,,0,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,100972,,,,,585.51,0,7513.26,0
