WGR_ID,WGR_NAME,SPA_ID,WGR_TYP,WGR_MWSTNR,WGR_KONR,WGR_MWSTKO,JANW_NUMMER,CHG_USER,CHG_ZEIT,NEW_USER,NEW_ZEIT,AKTIV,WGR_RABNR,WGR_INV_SORT,WGR_NAMEID,WGR_BEDGR1,WGR_BEDGR2,KRT_NR,WGR_KONR2,WGR_KONRRUECK,WGR_MWSTKO2,WGR_MWSTKORUECK,WGR_EP1DEF,WGR_EP1PERC,WGR_EP2DEF,WGR_EP2PERC,WGR_KONR3,WGR_MWSTKO3,WGR_FORCB,WGR_NOTRANSFER,WGR_DEPOSIT,WGR_NUMBER,WGR_OQC_METHOD,WGR_OQC_BDAYS,WGR_OQC_SUBSOH,WGR_OQC_ADDLEAD,WGR_OQC_ROUNDING,WGR_OQC_SFACTOR,WGR_ACCINV1,WGR_ACCEXP1,WGR_ACCCOS1,WGR_ACCACC1,WGR_ACCINV2,WGR_ACCEXP2,WGR_ACCCOS2,WGR_ACCACC2,WGR_ACCINV3,WGR_ACCEXP3,WGR_ACCCOS3,WGR_ACCACC3,WGR_ACCINV4,WGR_ACCEXP4,WGR_ACCCOS4,WGR_ACCACC4,WGR_ACCINV5,WGR_ACCEXP5,WGR_ACCCOS5,WGR_ACCACC5,WGR_VATINV1,WGR_VATEXP1,WGR_VATCOS1,WGR_VATACC1,WGR_VATINV2,WGR_VATEXP2,WGR_VATCOS2,WGR_VATACC2,WGR_VATINV3,WGR_VATEXP3,WGR_VATCOS3,WGR_VATACC3,WGR_VATINV4,WGR_VATEXP4,WGR_VATCOS4,WGR_VATACC4,WGR_VATINV5,WGR_VATEXP5,WGR_VATCOS5,WGR_VATACC5,WGR_WGRNR,WGR_WGRNRCNT,ART_NR,WGR_NOREPORT,WGR_ACTTHEO,WGR_TENTATIVE,WGR_FKEY,WGR_KONRADD,WGR_ACCADD1,WGR_ACCADD2,WGR_ACCADD3,WGR_ACCADD4,WGR_ACCADD5,VPK_NR
137,Delivery Carnes Frias 918,71,1,0,,,,21,2026-05-06 22:35:07,21,2026-04-23 08:46:55, ,,345,DELIVERY CARNES FRIAS 918,,,,,,,,0,1,0,1,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,,,,,,,
138,Delivery Cassettes 835,64,1,0,,,,21,2026-05-06 22:35:07,21,2026-04-23 08:46:55, ,,262,DELIVERY CASSETTES 835,,,,,,,,0,1,0,1,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,,,,,,,
139,Delivery Celulares y Accesorios 834,64,1,0,,,,21,2026-05-06 22:35:07,21,2026-04-23 08:46:55, ,,261,DELIVERY CELULARES Y ACCESORIOS 834,,,,,,,,0,1,0,1,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,,,,,,,
140,Delivery Champagne y Espumantes 928,77,1,0,,,,21,2026-05-06 22:35:07,21,2026-04-23 08:46:55, ,,355,DELIVERY CHAMPAGNE Y ESPUMANTES 928,,,,,,,,0,1,0,1,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928,,,,,,,
141,Delivery Chicles 893,57,1,0,,,,21,2026-05-06 22:35:07,21,2026-04-23 08:46:55, ,,320,DELIVERY CHICLES 893,,,,,,,,0,1,0,1,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893,,,,,,,
142,Delivery Chizitos 881,75,1,0,,,,21,2026-05-06 22:35:07,21,2026-04-23 08:46:55, ,,308,DELIVERY CHIZITOS 881,,,,,,,,0,1,0,1,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881,,,,,,,
143,Delivery Chocolate Caliente 991,44,1,0,,,,21,2026-05-06 22:35:07,21,2026-04-23 08:46:55, ,,418,DELIVERY CHOCOLATE CALIENTE 991,,,,,,,,0,1,0,1,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991,,,,,,,
144,Delivery Chocolates 930,57,1,0,,,,21,2026-05-06 22:35:07,21,2026-04-23 08:46:55, ,,357,DELIVERY CHOCOLATES 930,,,,,,,,0,1,0,1,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,,,,,,,
145,Delivery Chupetines y Pastillas 941,57,1,0,,,,21,2026-05-06 22:35:07,21,2026-04-23 08:46:55, ,,368,DELIVERY CHUPETINES Y PASTILLAS 941,,,,,,,,0,1,0,1,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,,,,,,,
146,Delivery Cigarrillos Electronicos 980,68,1,0,,,,21,2026-05-06 22:35:07,21,2026-04-23 08:46:55, ,,407,DELIVERY CIGARRILLOS ELECTRONICOS 980,,,,,,,,0,1,0,1,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980,,,,,,,
147,Delivery Cigarrillos sin humo 872,68,1,0,,,,21,2026-05-06 22:35:07,21,2026-04-23 08:46:55, ,,299,DELIVERY CIGARRILLOS SIN HUMO 872,,,,,,,,0,1,0,1,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,,,,,,,
148,Delivery Cigarros 809,68,1,0,,,,21,2026-05-06 22:35:07,21,2026-04-23 08:46:55, ,,236,DELIVERY CIGARROS 809,,,,,,,,0,1,0,1,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,,,,,,,
149,Delivery Cobro Cheques 984,73,1,0,,,,21,2026-05-06 22:35:07,21,2026-04-23 08:46:55, ,,411,DELIVERY COBRO CHEQUES 984,,,,,,,,0,1,0,1,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984,,,,,,,
150,Delivery Cocktail Mixes 898,62,1,0,,,,21,2026-05-06 22:35:07,21,2026-04-23 08:46:55, ,,325,DELIVERY COCKTAIL MIXES 898,,,,,,,,0,1,0,1,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,,,,,,,
