KST_ID,ART_ID,DAY_DATE,DAY_SOHBEG,DAY_SOHEND,DAY_QTYPURCH,DAY_QTYTRSFIN,DAY_QTYTRSFOUT,DAY_QTYUSAGE,DAY_QTYSOLD,DAY_QTYPRODUSE,DAY_QTYPROD,DAY_QTYINV,DAY_SOHINV,DAY_INVDATE,DAY_PRICELAST,DAY_PRICEAVG,DAY_PRICELPURCH,DAY_PRICELTRSF,DAY_FLAGEXP,DAY_FLAGPRICE,NEW_USER,NEW_ZEIT,CHG_USER,CHG_ZEIT,DAY_REVENUE,DAY_PRICE,DAY_QTYINVBEG,DAY_QTYEXPENSE,DAY_PRICESTD,DAY_SUMPURCH,DAY_SUMTRSF,DAY_QTYYIELDIN,DAY_SUMYIELD,DAY_USAGEFACTOR,DAY_SUMVATPURCH,DAY_SUMVATTRSF,DAY_VATAVG,DAY_FLAGPRICEEXP,DAY_SUMTRSFOUT
15,174,2026-05-05 00:00:00,10,10,0,0,0,0,0,0,0,0,0,,0.000,0.000,,,1,0,1,2026-05-05 02:00:21,1,2026-05-05 02:00:21,,0.000,0,0,0.000,0,0,0,0,,0,0,0.000,,0
15,175,2026-05-05 00:00:00,15,15,0,0,0,0,0,0,0,0,0,,0.000,0.000,,,1,0,1,2026-05-05 02:00:21,1,2026-05-05 02:00:21,,0.000,0,0,0.000,0,0,0,0,,0,0,0.000,,0
15,178,2026-05-05 00:00:00,0,0,0,0,0,0,0,0,0,0,0,,0.000,0.000,,,1,0,1,2026-05-05 02:00:21,1,2026-05-05 02:00:21,,0.000,0,0,0.000,0,0,0,0,,0,0,0.000,,0
15,179,2026-05-05 00:00:00,5,5,0,0,0,0,0,0,0,0,0,,0.000,0.000,,,1,0,1,2026-05-05 02:00:21,1,2026-05-05 02:00:21,,0.000,0,0,0.000,0,0,0,0,,0,0,0.000,,0
15,181,2026-05-05 00:00:00,0,0,0,0,0,0,0,0,0,0,0,,0.000,0.000,,,1,0,1,2026-05-05 02:00:21,1,2026-05-05 02:00:21,,0.000,0,0,0.000,0,0,0,0,,0,0,0.000,,0
15,182,2026-05-05 00:00:00,0,0,0,0,0,0,0,0,0,0,0,,0.000,0.000,,,1,0,1,2026-05-05 02:00:21,1,2026-05-05 02:00:21,,0.000,0,0,0.000,0,0,0,0,,0,0,0.000,,0
15,185,2026-05-05 00:00:00,2,2,0,0,0,0,0,0,0,0,0,,0.000,0.000,,,1,0,1,2026-05-05 02:00:21,1,2026-05-05 02:00:21,,0.000,0,0,0.000,0,0,0,0,,0,0,0.000,,0
15,187,2026-05-05 00:00:00,43,43,0,0,0,0,0,0,0,0,0,,0.000,0.000,,,1,0,1,2026-05-05 02:00:21,1,2026-05-05 02:00:21,,0.000,0,0,0.000,0,0,0,0,,0,0,0.000,,0
15,188,2026-05-05 00:00:00,20,20,0,0,0,0,0,0,0,0,0,,0.000,0.000,,,1,0,1,2026-05-05 02:00:21,1,2026-05-05 02:00:21,,0.000,0,0,0.000,0,0,0,0,,0,0,0.000,,0
15,189,2026-05-05 00:00:00,30,30,0,0,0,0,0,0,0,0,0,,0.000,0.000,,,1,0,1,2026-05-05 02:00:21,1,2026-05-05 02:00:21,,0.000,0,0,0.000,0,0,0,0,,0,0,0.000,,0
