INV_ID,INP_TYP,ART_ID,VPK_ID,LGP_NR,INP_SOLL,INP_IST,INP_ESP,INP_EKP,INP_VSP,INP_VKP,INP_INFO,INP_DELART,INP_STATUS,INP_WEK,INP_UML,INP_KST,INP_IST0,INP_IST1,INP_IST2,INP_IST3,INP_IST4,INP_IST5,INP_IST6,INP_IST7,INP_IST8,INP_IST9,INP_EP1,INP_EP2,INP_CHANGED,REPLICATED,INP_IST10,SPA_NR,WGR_NR
1,4,880,3,,0,8,0.000,0.000,0,0,,1,0,,,,8,0,0,0,0,0,0,0,0,0,0,0,1,,,92,412
1,4,880,3,,0,8,0.000,0.000,0,0,,1,0,,,,8,0,0,0,0,0,0,0,0,0,0,0,1,,,92,412
1,4,790,3,,0,17,0.000,0.000,0,0,,1,0,,,,17,0,0,0,0,0,0,0,0,0,0,0,1,,,103,334
1,4,790,3,,0,17,0.000,0.000,0,0,,1,0,,,,17,0,0,0,0,0,0,0,0,0,0,0,1,,,103,334
1,4,835,3,,0,34,0.000,0.000,0,0,,1,0,,,,34,0,0,0,0,0,0,0,0,0,0,0,1,,,104,335
1,4,835,3,,0,34,0.000,0.000,0,0,,1,0,,,,34,0,0,0,0,0,0,0,0,0,0,0,1,,,104,335
1,4,615,3,,0,3,0.000,0.000,0,0,,1,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,1,,,103,334
1,4,615,3,,0,3,0.000,0.000,0,0,,1,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,1,,,103,334
1,4,578,3,,0,43,0.000,0.000,0,0,,1,0,,,,43,0,0,0,0,0,0,0,0,0,0,0,1,,,104,335
1,4,578,3,,0,43,0.000,0.000,0,0,,1,0,,,,43,0,0,0,0,0,0,0,0,0,0,0,1,,,104,335
1,4,611,3,,0,21,0.000,0.000,0,0,,1,0,,,,21,0,0,0,0,0,0,0,0,0,0,0,1,,,104,335
1,4,611,3,,0,21,0.000,0.000,0,0,,1,0,,,,21,0,0,0,0,0,0,0,0,0,0,0,1,,,104,335
